nombre,tipo,region,lat,lon,superficie_ha,tiene_camping,servicios,descripcion,url_conaf,slug_conaf
Conguillio,Parque Nacional,La Araucanía,-38.655086,-71.6847086,,True,baños|senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-conguillio/,parque-nacional-conguillio
Corcovado,Parque Nacional,Aysén,-43.5083359,-72.7121795,293986,False,senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-corcovado/,parque-nacional-corcovado
Hornopirén,Parque Nacional,,-41.88912,-72.2504305,3000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-hornopiren/,parque-nacional-hornopiren
Huasco,Parque Nacional,,-28.1411382,-71.0120598,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-huasco/,parque-nacional-huasco
Huerquehue,Parque Nacional,,-39.1371,-71.6591212,000,True,baños|duchas|estacionamiento|senderos|quincho|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-huerquehue/,parque-nacional-huerquehue
Isla Magdalena,Parque Nacional,Aysén del General Carlos Ibáñez del Campo,-44.6192273,-73.3526086,000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-isla-magdalena/,parque-nacional-isla-magdalena
Kawésqar,Parque Nacional,Magallanes,-52.3127552,-73.756673,875,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-kawesqar/,parque-nacional-kawesqar
La Campana,Parque Nacional,,-32.9663,-71.0738572,8000,True,estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-la-campana/,parque-nacional-la-campana
Laguna del Laja,Parque Nacional,,-37.4140414,-71.3715641,,False,estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-laguna-del-laja/,parque-nacional-laguna-del-laja
Laguna San Rafael,Parque Nacional,Aysén,-46.9738905,-74.4524822,1742000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-laguna-san-rafael/,parque-nacional-laguna-san-rafael
Lauca,Parque Nacional,,-18.2613525,-69.2912056,,False,baños|estacionamiento|senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-lauca/,parque-nacional-lauca
Llanos de Challe,Parque Nacional,Atacama,-28.1411382,-71.0120598,45708,True,senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-llanos-de-challe/,parque-nacional-llanos-de-challe
Llullaillaco,Parque Nacional,Antofagasta,-24.8561576,-68.7110403,268670,False,baños|senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-llullaillaco/,parque-nacional-llullaillaco
Nahuelbuta,Parque Nacional,,-37.7961273,-72.9911783,,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-nahuelbuta/,parque-nacional-nahuelbuta
Nevado de Tres Cruces,Parque Nacional,Atacama,-27.0350588,-68.9910802,87,True,senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-nevado-de-tres-cruces/,parque-nacional-nevado-de-tres-cruces
Nonguén,Parque Nacional,,-36.8946547,-72.9809754,9,False,estacionamiento|senderos|refugio|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-nonguen/,parque-nacional-nonguen
Patagonia,Parque Nacional,,-46.928484,-72.2644548,75,False,baños|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-patagonia/,parque-nacional-patagonia
Pumalín Douglas Tompkins,Parque Nacional,Los Lagos,-42.1697965,-72.2677464,000,True,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-pumalin-douglas-tompkins/,parque-nacional-pumalin-douglas-tompkins
Puyehue,Parque Nacional,,-40.6829636,-72.0999773,,True,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-puyehue/,parque-nacional-puyehue
Queulat,Parque Nacional,,-44.3804728,-72.4109312,154093,True,baños|estacionamiento|senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-queulat/,parque-nacional-queulat
Radal Siete Tazas,Parque Nacional,,-35.4772851,-70.9383239,,True,baños|senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-radal-siete-tazas/,parque-nacional-radal-siete-tazas
Rapa Nui,Parque Nacional,,-27.178957,-109.4275079,,False,baños|senderos|fogon,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-rapa-nui/,parque-nacional-rapa-nui
Salar de Huasco,Parque Nacional,,-34.1512163,-70.7588222,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-salar-de-huasco/,parque-nacional-salar-de-huasco
Tierra del Fuego,Parque Nacional,,-54.1387555,-68.7049474,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-tierra-del-fuego/,parque-nacional-tierra-del-fuego
Torres del Paine,Parque Nacional,Magallanes y Antártica Chilena,-51.0405776,-72.9845251,,True,baños|agua_potable|senderos|refugio|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-torres-del-paine/,parque-nacional-torres-del-paine
