nombre,tipo,region,lat,lon,superficie_ha,tiene_camping,servicios,descripcion,url_conaf,slug_conaf,horario,slug_pases,url_pases,tiene_pase_digital
Conguillio,Parque Nacional,La Araucanía,-38.655086,-71.6847086,,True,baños|senderos|picnic,"Horario de Último Ingreso: 14:00 Hrs Revisa el estado de la unidad aquí Recuerda llevar tu pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Cada rincón de Conguillío nos invita a maravillarnos con su biodiversidad, sus paisajes únicos y sus cristalinos lagos de origen volcánico. Este parque es un verdadero tesoro natural, hogar del imponente Volcán Llaima y de los impresionantes bosques de araucarias, algunas de las cuales tienen más de 1,000 años.",https://www.conaf.cl/parque_nacionales/parque-nacional-conguillio/,parque-nacional-conguillio,abierto de Martes a Domingo de 08:30 a 17:30,conguillio,https://www.pasesparques.cl/es/parks/conguillio,True
Corcovado,Parque Nacional,Aysén,-43.5083359,-72.7121795,293986,False,senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-corcovado/,parque-nacional-corcovado,,,,False
Hornopirén,Parque Nacional,,-41.88912,-72.2504305,3000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-hornopiren/,parque-nacional-hornopiren,,,,False
Huasco,Parque Nacional,,-28.1411382,-71.0120598,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-huasco/,parque-nacional-huasco,,,,False
Huerquehue,Parque Nacional,Región de la Araucanía Abierto,-39.1371,-71.6591212,000,True,baños|duchas|estacionamiento|senderos|quincho|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-huerquehue/,parque-nacional-huerquehue,abierto de Martes a Domingo de 08:30 a 18:30,huerquehue,https://www.pasesparques.cl/es/parks/huerquehue,True
Isla Magdalena,Parque Nacional,Aysén del General Carlos Ibáñez del Campo,-44.6192273,-73.3526086,000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-isla-magdalena/,parque-nacional-isla-magdalena,,,,False
Kawésqar,Parque Nacional,Magallanes,-52.3127552,-73.756673,875,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-kawesqar/,parque-nacional-kawesqar,,,,False
La Campana,Parque Nacional,,-32.9663,-71.0738572,8000,True,estacionamiento|senderos,"Horario de Último Ingreso: 15:30 Hrs Para mayor información de senderos y mapa revisa el siguiente link Revisa las indicaciones para travesías en el siguiente link Protocolo de travesías PN La Campana Este parque representa un importante centro de convergencia florística, con elementos fitogeográficos del norte, centro, sur y andinos. Conjuntamente con comunidades semidesérticas, que crecen en laderas de exposición norte, se desarrollan, en laderas de exposición sur, bosques de tipo sureño. Por sobre los 1.600 m de altitud, crecen comunidades andinas, y a bajas alturas (hasta los 1.000 m), los",https://www.conaf.cl/parque_nacionales/parque-nacional-la-campana/,parque-nacional-la-campana,abierto de Martes a Domingo de 08:30 a 17:00,la-campana-sector-granizo,https://www.pasesparques.cl/es/parks/la-campana-sector-granizo,True
Laguna del Laja,Parque Nacional,Región del Biobío Abierto,-37.4140414,-71.3715641,,False,estacionamiento|senderos,"Horario de Último Ingreso: 18:00 Hrs Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad. Este parque destaca por su impresionante lago glacial y vistas panorámicas del Volcán Antuco y Sierra Velluda. Ofrece senderos para el trekking  y oportunidades para la observación de fauna como aves, carnívoros y reptiles. Ideal para el ecoturismo, brinda paisajes montañosos y actividades al aire libre. En invierno es un destino ideal para disfrutar de la presencia de nieve",https://www.conaf.cl/parque_nacionales/parque-nacional-laguna-del-laja/,parque-nacional-laguna-del-laja,abierto de Lunes a Domingo de 08:30 a 18:00,laguna-del-laja,https://www.pasesparques.cl/es/parks/laguna-del-laja,True
Laguna San Rafael,Parque Nacional,Aysén,-46.9738905,-74.4524822,1742000,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-laguna-san-rafael/,parque-nacional-laguna-san-rafael,abierto de Lunes a Domingo de 08:30 a 17:00,laguna-san-rafael,https://www.pasesparques.cl/es/parks/laguna-san-rafael,True
Lauca,Parque Nacional,,-18.2613525,-69.2912056,,False,baños|estacionamiento|senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-lauca/,parque-nacional-lauca,,,,False
Llanos de Challe,Parque Nacional,Atacama,-28.1411382,-71.0120598,45708,True,senderos|refugio,"Horario de Último Ingreso: 16:30 Hrs Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Este parque es conocido por su desierto florido, que transforma el paisaje con un manto de flores coloridas tras las lluvias estacionales. Sus senderos permiten explorar una flora endémica única y avistar fauna como guanacos y zorros. Es un destino ideal para el ecoturismo, ofreciendo una experiencia única de conexión con la naturaleza y la belleza escénica del desierto en flor.",https://www.conaf.cl/parque_nacionales/parque-nacional-llanos-de-challe/,parque-nacional-llanos-de-challe,abierto de Martes a Domingo de 09:00 a 18:00,llanos-de-challe,https://www.pasesparques.cl/es/parks/llanos-de-challe,True
Llullaillaco,Parque Nacional,Antofagasta,-24.8561576,-68.7110403,268670,False,baños|senderos|refugio,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-llullaillaco/,parque-nacional-llullaillaco,,,,False
Nahuelbuta,Parque Nacional,,-37.7961273,-72.9911783,,False,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-nahuelbuta/,parque-nacional-nahuelbuta,,,,False
Nevado de Tres Cruces,Parque Nacional,Atacama,-27.0350588,-68.9910802,87,True,senderos|refugio,"Horario de Último Ingreso 17:00 Hrs Parque nacional cerrado sin personal guardaparques de CONAF desde junio a septiembre. Solo atención de concesionario turístico refugio maricunga, sector laguna santa rosa. Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad El Parque Nacional Nevado Tres Cruces ubicado en las comunas de Copiapó y Tierra Amarilla, se extiende por 50.081 hectáreas y se divide en dos sectores, la laguna Santa Rosa al norte y Negro Francisco al sur, con altitudes que van desde los 3800 hasta los 5440 msnm en su p",https://www.conaf.cl/parque_nacionales/parque-nacional-nevado-de-tres-cruces/,parque-nacional-nevado-de-tres-cruces,abierto de Martes a Domingo de 09:00 a 19:30,nevado-tres-cruces,https://www.pasesparques.cl/es/parks/nevado-tres-cruces,True
Nonguén,Parque Nacional,Región del Biobío Abierto,-36.8946547,-72.9809754,9,False,estacionamiento|senderos|refugio|picnic,"Horario de Último Ingreso: 15:00 Hrs Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Es un pequeño santuario natural que destaca por su valiosa biodiversidad. Alberga bosques dominados por  el roble, y destacan especies amenazadas como el Pitao y el Michay araucano, además de una rica fauna que incluye pudus y zorros. Sus senderos permiten el avistamiento de aves y la conexión con la naturaleza en un entorno de tranquilidad y belleza escénica.",https://www.conaf.cl/parque_nacionales/parque-nacional-nonguen/,parque-nacional-nonguen,abierto de Martes a Domingo de 09:30 a 16:30,nonguen,https://www.pasesparques.cl/es/parks/nonguen,True
Patagonia,Parque Nacional,,-46.928484,-72.2644548,75,False,baños|senderos,"Horario de Último Ingreso: 17:30 Hrs Camping del sector chacabuco del Parque Nacional Patagonia se encontrarán cerrados hasta el inicio de la temporada de verano El cierre del sector Chacabuco incluye Sector Alto Valle, casa Piedra ruta los valles wets wind, Conexión Tamango- Chacabuco Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Este parque alberga uno de los niveles más altos de biodiversidad de la región, conformando un corredor natural entre valles inmersos . Sus paisajes espectaculares incluyen la estepa patagónica,",https://www.conaf.cl/parque_nacionales/parque-nacional-patagonia/,parque-nacional-patagonia,abierto de Martes a Domingo de 08:30 a 18:00,patagonia-chacabuco,https://www.pasesparques.cl/es/parks/patagonia-chacabuco,True
Pumalín Douglas Tompkins,Parque Nacional,Los Lagos,-42.1697965,-72.2677464,000,True,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-pumalin-douglas-tompkins/,parque-nacional-pumalin-douglas-tompkins,,,,False
Puyehue,Parque Nacional,,-40.6829636,-72.0999773,,True,senderos,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-puyehue/,parque-nacional-puyehue,,,,False
Queulat,Parque Nacional,,-44.3804728,-72.4109312,154093,True,baños|estacionamiento|senderos,"Horario de Último Ingreso 14:30 Hrs Horario de Último ingreso Senderos Especiales Sendero ""La Morrena"" 13:30 Hrs Sendero ""Laguna los Pumas"" 12:00 Hrs Camping del sector Ventisquero Colgante del Parque Nacional Queulat se encontrarán cerrados hasta el inicio de la temporada de verano Recuerda llevar tu pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Este parque, es famoso por el impresionante Ventisquero Colgante y los paisajes característicos de la selva valdiviana. Sus senderos atraviesan bosques densos, cascadas y ríos, lo que lo convierte ",https://www.conaf.cl/parque_nacionales/parque-nacional-queulat/,parque-nacional-queulat,abierto de Martes a Domingo de 09:00 a 16:30,queulat,https://www.pasesparques.cl/es/parks/queulat,True
Radal Siete Tazas,Parque Nacional,Región del Maule Abierto,-35.4772851,-70.9383239,,True,baños|senderos|picnic,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-radal-siete-tazas/,parque-nacional-radal-siete-tazas,abierto de Martes a Domingo de 08:30 a 17:00,rada-siete-tazas,https://www.pasesparques.cl/es/parks/rada-siete-tazas,True
Rapa Nui,Parque Nacional,,-27.178957,-109.4275079,,False,baños|senderos|fogon,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-rapa-nui/,parque-nacional-rapa-nui,,,,False
Salar de Huasco,Parque Nacional,,-34.1512163,-70.7588222,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-salar-de-huasco/,parque-nacional-salar-de-huasco,,,,False
Tierra del Fuego,Parque Nacional,,-54.1387555,-68.7049474,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-tierra-del-fuego/,parque-nacional-tierra-del-fuego,,,,False
Torres del Paine,Parque Nacional,Magallanes y Antártica Chilena,-51.0405776,-72.9845251,,True,baños|agua_potable|senderos|refugio|picnic,"Hasta el 31 de agosto se exigirá el acompañamiento de un guía autorizado para el acceso a Base Torres Listado completo guías autorizados Durante  los meses de Junio y Julio el sendero W se encontrará cerrado Hasta el 31 de octubre se encontrará cerrado el circuito macizo paine (""O"") Lee el siguiente reglamento sobre ingreso en temporada invernal y sigue las indicaciones Reglamento invernal PN Torres de Paine Prepárate para una aventura épica en el corazón de la Patagonia chilena, descubre un reino de glaciares majestuosos, torres de granito imponentes y lagos de un azul profundo. Prepárate par",https://www.conaf.cl/parque_nacionales/parque-nacional-torres-del-paine/,parque-nacional-torres-del-paine,abierto de Lunes a Domingo de 08:30 a 18:00,torres-del-paine,https://www.pasesparques.cl/es/parks/torres-del-paine,True
Vicente Pérez Rosales,Parque Nacional,Región de los Lagos Abierto,-41.0598676,-72.4255608,253780,False,senderos|refugio,"Horario de Último Ingreso: 17:00 Hrs Pase válido para sector Saltos de Petrohue / Sectores Laguna Verde, Volcán Osorno y Petrohue con acceso gratuito Recuerda llevar tu Pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Sumérgete en la belleza salvaje de los Saltos del Petrohué, donde el agua turquesa se desploma en cascadas espectaculares. Rodeado de bosques verdes y vistas inolvidables al volcán Osorno, vive una experiencia natural única e inolvidable.",https://www.conaf.cl/parque_nacionales/parque-nacional-vicente-perez-rosales/,parque-nacional-vicente-perez-rosales,abierto de Lunes a Domingo de 09:00 a 18:00,v-perez-rosales,https://www.pasesparques.cl/es/parks/v-perez-rosales,True
Villarrica,Parque Nacional,Los Ríos,-39.4758914,-71.8806854,460,True,baños|estacionamiento|senderos|picnic,"Horario de Último Ingreso: 16:00 Hrs Revisa el estado de la unidad aquí Recuerda llevar tu pase impreso o en tu dispositivo móvil para presentarlo en el acceso junto a tu cédula de identidad Este parque, es famoso por sus impresionantes paisajes volcánicos y fuentes termales. Sus senderos te guían a través de lagos, bosques nativos y ofrecen vistas panorámicas del imponente Volcán Villarrica. Es un destino ideal para quienes disfrutan de actividades como senderismo, esquí y la observación de flora y fauna, brindando una experiencia natural llena de aventura y exploración.",https://www.conaf.cl/parque_nacionales/parque-nacional-villarrica/,parque-nacional-villarrica,abierto de Martes a Domingo de 08:30 a 17:30,villarrica-norte,https://www.pasesparques.cl/es/parks/villarrica-norte,True
Volcán Isluga,Parque Nacional,Tarapacá,-19.3340265,-69.1037714,,False,senderos|quincho,Saltar al contenido Menu Quiénes Somos Oficina Virtual Centro Documental Preguntas frecuentes Contacto Inicio Manejo de Ecosistemas Bosque Nativo Fondo de Conservación y Manejo Sustentable del Bosque Nativo Cómo postular Tabla de valores vigente Resultado concursos del Fondo de Conservación Bonos Ley de Bosque Nativo Pago por Asesoría Profesional Cómo obtener crédito de enlace CONAF-INDAP para manejar tu bosque nativo Asistencia profesional Programa Nacional de Extensión Forestal de CONAF Acuerd,https://www.conaf.cl/parque_nacionales/parque-nacional-volcan-isluga/,parque-nacional-volcan-isluga,,,,False
Yerba Loca,Parque Nacional,,,,,,,,https://www.conaf.cl/parque_nacionales/parque-nacional-yerba-loca/,parque-nacional-yerba-loca,,,,False
